Trig Name,STATION NAME,New Name,EASTING,NORTHING,HEIGHT,ORDER,TYPE OF MARK,SECONDARY COMPUTING BLOCK,Computing Date,Maintained,CLASS OF LEVELLING,Date of Levelling,LEVELLING DATUM,DESTROYED MARK INDICATOR,COMMENTS
Addison Street Ch Sp St Johns,SD74/INT1,SD74I001,376315.97,429080.09,0,3,SPIRE,SD74,01/06/1948,01/09/1979,0,,,0,
Addlebrough,SE38/1,SE38S001,394600.895,488125.702,476.707,2,PILLAR,SE38,01/06/1955,01/06/1976,2,01/06/1955,N,0,
Addlepool,ST11/T1,ST11T001,298987.16,88163.77,53.385,3,PILLAR,ST11,01/06/1947,01/02/1979,1,01/03/1962,N,0,
Addlestone Ch Twr,TQ08/T210,TQ08T210,504332.26,164362.12,0,4,FLAGSTAFF,TQ08,01/06/1959,,0,,,0,
Addlestone Ch Twr,TQ08/T210,TQ08T210,504328.51,164364.06,0,4,RIVET,TQ08,01/06/1959,,0,,,0,
Addlethorpe Ch Twr,TF47/6,TF47S006,555081.001,369098.939,0,2,BOLT,TF47,01/06/1950,01/05/1981,0,,,0,
Addlethorpe Ch Twr,TF47/6,TF47S006,555080.52,369099.27,0,3,CENTRE,TF47,01/06/1950,01/05/1981,0,,,0,
Addlethorpe Ch Twr,TF47/6,TF47S006,555080.91,369097.82,0,3,FLAGSTAFF,TF47,01/06/1950,,0,,,0,
Addlethorpe Windmill,TF47/INT4,TF47I004,555114.66,367622.28,0,3,APEX,TF47,01/06/1950,,0,,,1,Dest 03/79
Adel Towers,SE44/T160,SE44T160,427912.32,439221.91,0,4,BOLT,SE44,01/06/1952,,0,,,1,Brass screw.  Dest 12/68
